GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
jee-webshop,src.utils,StringUtils,3,9,0,4,1,1,1,3,1,1
jee-webshop,src.auth,Auth0AuthenticationMechanism,60,0,6,0,13,0,6,0,3,0
jee-webshop,src.auth,Auth0JwtCredential,15,0,0,0,5,0,2,0,2,0
jee-webshop,src.auth,AuthMailSender.new Authenticator() {...},29,0,0,0,4,0,2,0,2,0
jee-webshop,src.auth,Auth0JwtPrincipal,13,0,0,0,4,0,2,0,2,0
jee-webshop,src.auth,Auth0JwtValidator,20,0,0,0,9,0,2,0,2,0
jee-webshop,src.auth,JwtApiFilter,65,0,6,0,18,0,5,0,2,0
jee-webshop,src.auth,Auth0JwtIdentityStore,19,0,2,0,6,0,3,0,2,0
jee-webshop,src.auth,AuthMailSender,102,0,0,0,26,0,4,0,4,0
jee-webshop,src.auth,JwksKeyProvider,21,0,0,0,5,0,3,0,3,0
jee-webshop,src.auth,Auth0AuthenticationConfig,72,0,8,0,16,0,10,0,6,0
jee-webshop,src.auth,Auth0AuthenticationProvider,21,0,0,0,5,0,2,0,2,0
jee-webshop,src.config,MvcConfig,3,0,0,0,1,0,1,0,1,0
jee-webshop,src.repository,ShoppingCartRepository,71,0,0,0,29,0,8,0,8,0
jee-webshop,src.repository,CategoryRepository,104,0,0,0,38,0,11,0,11,0
jee-webshop,src.repository,ArticleRepository,143,0,6,0,38,0,12,0,9,0
jee-webshop,src.repository,UserRepository,50,0,0,0,17,0,5,0,5,0
jee-webshop,src.model,ShoppingCart,14,31,0,0,2,6,4,9,4,9
jee-webshop,src.model,Subcategory,20,18,0,0,4,3,6,5,6,5
jee-webshop,src.model,ArticleImage,21,17,0,0,3,4,6,5,6,5
jee-webshop,src.model,Category,0,17,0,0,0,4,0,5,0,5
jee-webshop,src.model,User,26,10,0,0,7,3,5,3,5,3
jee-webshop,src.model,Article,38,112,0,10,6,17,11,19,11,14
jee-webshop,src.controller,ShoppingCartController,12,162,0,4,4,29,4,11,4,9
jee-webshop,src.controller,ApiController,459,0,8,0,131,0,26,0,22,0
jee-webshop,src.controller,AuthController,3,110,0,12,1,28,1,14,1,8
jee-webshop,src.controller,CategoryController,6,65,0,2,2,13,2,6,2,5
jee-webshop,src.controller,ArticleController,6,175,0,6,2,36,2,16,2,13
